year,industry1,industry2,industry3,at_least_one,parttime_work,flexihours,staggered_hours,teleworking,homeworking,job_sharing,compressed_work_week
2023,services,information and communications,it and other information services,81.6,19.9,54.9,38.1,58.9,5.1,9.9,6.4
2023,services,financial and insurance services,financial services,74.9,38.8,44.3,38.2,46.4,8.2,12.4,8.2
2023,services,financial and insurance services,insurance services,84.8,45.5,56.6,56.6,50.5,3,8.1,21.2
2023,services,real estate services,real estate services,71.7,37.7,31.6,30.7,23.1,9.4,16,11.3
2023,services,professional services,"legal, accounting and management services",81.4,31.3,56.3,42.7,55.7,7.6,13,12.6
2023,services,professional services,architectural and engineering services,64.8,35.8,38.3,30,36.2,7,19.5,13.6
2023,services,professional services,other professional services,83.6,34.8,47.3,36.3,43.8,10.5,14.1,12.1
2023,services,administrative and support services,security and investigation,70.8,59.6,33.5,25.5,27.3,16.1,23.6,28.6
2023,services,administrative and support services,cleaning and landscaping,64.9,49.2,32.3,23.5,21.2,9.1,19.6,10.9
2023,services,administrative and support services,other administrative and support services,60.8,23.9,40,30.1,33.2,7,10.4,7.9
2023,services,"community, social and personal services",education,73.4,62.2,31.1,34.5,39,11.6,18.7,13.5
2023,services,"community, social and personal services",health and social services,76.8,58.4,39.8,41.1,30.4,8.9,15.6,7.1
2023,services,"community, social and personal services","other community, social and personal services",75.6,49.8,50.8,35.1,34.9,17.2,24.9,21.5
