year,industry1,industry2,industry3,at_least_one,parttime_work,flexihours,staggered_hours,teleworking,homeworking,job_sharing,compressed_work_week
2016,services,professional services,architectural and engineering services,43.5,27.2,20.3,8.4,3.8,-,0.6,3.2
2016,services,professional services,other professional services,58.9,42.2,23.8,25.4,12.4,-,-,9.2
2016,services,administrative and support services,security and investigation,77.4,68.4,18.7,6.5,10.3,-,3.2,7.7
2016,services,administrative and support services,cleaning and landscaping,64.9,61.2,9.9,6.8,2.8,0.3,-,-
2016,services,administrative and support services,other administrative and support services,49.6,37.8,17.2,13.2,5.2,-,-,2.3
2016,services,"community, social and personal services",education,76.6,73.4,14.6,21.9,3.1,-,1,2.6
2016,services,"community, social and personal services",health and social services,80.4,78.3,24.7,31.9,3,-,0.4,6.8
2016,services,"community, social and personal services","other community, social and personal services",67.2,57,23.5,14.8,4.9,-,0.9,1.9
2017,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",55.6,51.5,13,9.6,0.7,-,-,-
2017,manufacturing,paper/ rubber/ plastic products and printing,paper/ rubber/ plastic products and printing,38.7,21.6,12.6,3,6.5,-,-,-
2017,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",38,23.3,15.3,14,6,-,-,0.7
2017,manufacturing,fabricated metal products and machinery,fabricated metal products and machinery,42.7,25.2,17.4,7.3,2.9,0.6,-,-
2017,manufacturing,electronic and computer products,electronic and computer products,49.6,25.9,23,20,16.3,0.7,-,0.7
2017,manufacturing,transport equipment,transport equipment,31.8,19.4,12.2,7.6,2.3,-,0.2,0.4
2017,manufacturing,other manufacturing industries,other manufacturing industries,30.5,20.3,15.4,6.4,6.4,-,-,2.3
2017,construction,construction,construction,30.2,17,13,4.2,2.5,-,-,0.7
2017,services,wholesale and retail trade,wholesale trade,49.5,32.4,15.5,11.4,7.1,1.3,1,1.8
2017,services,wholesale and retail trade,retail trade,57,53.2,8.7,10.2,3.6,1.3,-,1
2017,services,transportation and storage,land transport and supporting services,51.7,37.6,12.9,12.4,6.7,-,1.1,-
2017,services,transportation and storage,water transport and supporting services,46.4,24.6,18,24.6,3.8,-,-,-
2017,services,transportation and storage,air transport and supporting services,s,s,s,s,s,s,s,s
2017,services,transportation and storage,other transport and storage services,43.5,25.5,15.8,17.7,7.1,-,1.6,1.9
2017,services,accommodation and food services,accommodation,60.2,35.7,15.3,26.5,8.2,-,9.2,-
2017,services,accommodation and food services,food and beverage services,71,63.6,18.1,13.6,4.2,2,1.4,0.2
2017,services,information and communications,"telecommunications, broadcasting and publishing",70.4,41.6,40.8,23.2,21.6,-,2.4,5.6
2017,services,information and communications,it and other information services,58.2,31.8,33.3,22.4,16.4,-,3,0.5
2017,services,financial and insurance services,financial services,62.9,48.8,18.6,31,15.5,1.4,5.3,5.8
2017,services,financial and insurance services,insurance services,78.2,73.1,19.2,29.5,7.7,-,-,-
2017,services,real estate services,real estate services,52.6,43.6,5.2,14.2,5.2,-,-,0.9
2017,services,professional services,"legal, accounting and management services",54.7,32.8,21.6,18.2,15.6,2.6,0.5,2.3
2017,services,professional services,architectural and engineering services,54.3,38.7,15.7,10.7,8,-,-,1
2017,services,professional services,other professional services,59.7,25.6,34.7,21.6,12.5,-,-,5.7
2017,services,administrative and support services,security and investigation,79.4,73.8,21.3,9.2,12.1,-,-,1.4
2017,services,administrative and support services,cleaning and landscaping,61.6,57.2,11.1,8.4,2,-,-,-
2017,services,administrative and support services,other administrative and support services,59.4,38.6,25.3,14.2,10.5,-,0.6,1.7
2017,services,"community, social and personal services",education,80.8,74.6,13,29.4,12.4,-,0.6,0.6
2017,services,"community, social and personal services",health and social services,89.4,85,15.7,37.8,7.9,0.4,0.8,1.6
