17 sektor,,,
,Average Wage/Salary (Rupiah),,
,2017,,
,February,August,Annual
A,1751410,1772196,-
B,4314074,4401929,-
C,2467629,2626907,-
D,4193189,3853281,-
E,3552848,2807655,-
F,2485373,2511610,-
G,2173100,2263549,-
H,3133390,3200302,-
I,2101853,2160203,-
J,4388423,4220582,-
K,4085723,4121511,-
L,3244605,3148210,-
"M, N",3156834,3632037,-
O,3913892,3951337,-
P,2920144,2738281,-
Q,2937889,3253498,-
"R, S, T, U",1566999,1593912,-
Rata-Rata,2702590,2742621,-
