17 sektor,,,
,Average Wage/Salary (Rupiah),,
,2018,,
,February,August,Annual
A,1761849,1887627,-
B,4127245,4636552,-
C,2478868,2703981,-
D,3416517,3574215,-
E,2892345,2615847,-
F,2628165,2722451,-
G,2160642,2390738,-
H,3172077,3255329,-
I,2098481,2242968,-
J,4059364,4070246,-
K,4134866,4375560,-
L,3073709,3592501,-
"M, N",3127060,3521942,-
O,3808741,3868641,-
P,2710224,2821145,-
Q,2968612,3354555,-
"R, S, T, U",1435939,1629011,-
Rata-Rata,2654070,2829130,-
