17 sektor,,,
,Average Wage/Salary (Rupiah),,
,2016,,
,February,August,Annual
A,1429297,1655385,-
B,4241129,4204286,-
C,2016981,2344965,-
D,2810096,3463659,-
E,2197744,2475199,-
F,2171399,2397089,-
G,1743901,2134806,-
H,2545167,3108156,-
I,1803323,1958630,-
J,3214073,3870612,-
K,3219839,3920272,-
L,3502666,4140006,-
"M, N",2624399,3143684,-
O,3155748,3515900,-
P,2309992,2684510,-
Q,2439348,2858516,-
"R, S, T, U",1320976,1415528,-
Rata-Rata,2180577,2552962,-
