"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0273094177246","34.1176490783691","35.7764892578125","35.2639312744141","35.5682983398438","35.1129417419434","40.8766212463379","39.4564208984375","41.2788887023926","41.5522193908691","40.5893516540527","41.839298248291","44.735221862793","45.6671714782715","23.4720993041992","25.0074291229248","23.393009185791","23.3965702056885","","","","","","","","",
"Africa Eastern and Southern","AFE","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","1.6298999786377","1.63283002376556","1.63674998283386","1.65216994285583","1.69177997112274","1.71144998073578","1.73294997215271","1.74818003177643","1.78926002979279","1.81031000614166","1.85355997085571","1.88530004024506","1.94249999523163","1.96505999565125","2.02503991127014","2.09292006492615","2.19765996932983","2.29131007194519","2.38216996192932","2.50889992713928","2.48583006858826","2.60519003868103","2.72233009338379","2.91835999488831","3.17090010643005","3.10852003097534","3.08493995666504","3.07846999168396","3.11168003082275","3.18781995773315","3.41371989250183","3.69974994659424","3.98446989059448","4.19647979736328","4.4503698348999","4.66288995742798","4.96248006820679","5.09598016738892","5.40848016738892","5.90755987167358","6.38521003723145","6.64566993713379","7.09740018844604","7.3629298210144","7.46745014190674","7.62135982513428","7.8280200958252","8.07569026947021","8.19346046447754","8.1699104309082","8.27126979827881","8.23657989501953","","","",
"Afghanistan","AFG","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","0.236829996109009","","0.27208998799324","0.366109997034073","0.304049998521805","0.332480013370514","0.37584000825882","0.618369996547699","0.720000028610229","0.627149999141693","","","","","","","0.662739992141724","","","","1.51288998126984","","","","","","","","","","","","","0.573949992656708","0.577600002288818","","","","","1.48238003253937","","1.86354005336761","","","3.45772004127502","","","","5.00381994247437","","5.94174003601074","","","","",
"Africa Western and Central","AFW","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","0.2533999979496","0.252829998731613","0.264450013637543","0.284539997577667","0.307909995317459","0.332159996032715","0.376969993114471","0.459160000085831","0.523239970207214","0.652570009231567","0.723420023918152","0.857829988002777","0.934759974479675","0.981880009174347","1.02901995182037","1.13343000411987","1.21896004676819","1.2694000005722","1.26954996585846","1.30175995826721","1.43919003009796","1.58613002300262","1.75460004806519","1.93997001647949","2.14586997032166","2.34381008148193","2.58196997642517","2.84048008918762","3.06159996986389","3.31027007102966","3.79996991157532","4.1361198425293","4.50686979293823","4.84798002243042","5.07281017303467","5.42494010925293","5.48256015777588","5.67609977722168","5.85289001464844","6.04897022247314","6.25971984863281","6.38551998138428","6.71723985671997","7.20140981674194","7.41145992279053","7.57610988616943","7.46436023712158","7.54189014434814","7.80694007873535","8.07194995880127","8.2826099395752","8.59539985656738","","","",
"Angola","AGO","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.188309997320175","","","","","","","","0.479559987783432","0.411940008401871","","","0.596909999847412","","","","","","","","","3.44930005073547","","8.1345796585083","","7.68736982345581","8.79209041595459","8.69120788574219","8.42012405395508","10.4768810272217","","","","9.7905797958374","",
"Albania","ALB","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","8.32143020629883","8.81789016723633","","","","","","4.49777984619141","","","4.50976991653442","","5.10691022872925","5.59844017028809","5.92455005645752","6.24175977706909","6.71871995925903","7.48959016799927","8.15147972106934","8.64011001586914","9.25008964538574","9.64645957946777","11.1336803436279","10.9484996795654","10.308970451355","11.3276300430298","13.7425298690796","14.5908002853394","16.6332092285156","","","19.5883502960205","19.7989501953125","23.2279891967773","26.6828994750977","30.5197200775146","35.5193481445312","36.394588470459","38.1325798034668","49.6336517333984","56.2686386108398","66.9087600708008","73.0355072021484","75.6627197265625","71.7403182983398","69.4634170532227","69.6489715576172","67.0805130004883","73.0472793579102","74.0293197631836","72.8731002807617","74.8408813476562","77.0315322875977","",
"Andorra","AND","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9415397644043","7.28962993621826","7.58003997802734","8.2114200592041","10.1428604125977","","13.75","","","","16.713249206543","18.2079296112061","16.6471996307373","17.3261394500732","17.9131507873535","17.391300201416","16.727840423584","16.4042701721191","15.6555795669556","16.6346206665039","35.1416206359863","70.1477813720703","",
"Arab World","ARB","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","4.08995008468628","4.1038498878479","4.2448902130127","4.4878101348877","4.78530979156494","5.19126987457275","5.72768020629883","6.09031009674072","6.42156982421875","6.56870985031128","6.87054014205933","7.31643009185791","7.61343002319336","7.78461980819702","7.99782991409302","8.1110200881958","8.22828960418701","8.27602005004883","8.75028038024902","8.69542026519775","8.94791030883789","8.88576030731201","9.45335006713867","10.3081398010254","10.7596502304077","11.5283403396606","12.4417695999146","13.3564195632935","14.3311195373535","15.7438097000122","16.2772197723389","16.9801692962646","18.0773792266846","18.5952606201172","19.6179790496826","20.9291095733643","21.7439708709717","21.8409690856934","23.4625797271729","24.2619304656982","25.0726108551025","24.6143703460693","25.8905296325684","27.5275096893311","28.9734001159668","30.7653408050537","31.7843894958496","32.5613899230957","34.3296394348145","34.8894500732422","35.3568801879883","35.2487182617188","35.816089630127","36.6910781860352","",
"United Arab Emirates","ARE","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.2663116455078","","","70.1777725219727","",
"Argentina","ARG","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","11.4947700500488","13.976149559021","15.4156398773193","18.1059703826904","20.8497295379639","25.9682006835938","26.0209102630615","23.0633602142334","21.4616203308105","22.1656303405762","22.10671043396","24.9668102264404","25.7286891937256","27.1345291137695","31.0237903594971","37.752140045166","40.2584991455078","42.5585098266602","","","","","","","","","","","","62.4167404174805","66.8404769897461","70.9192733764648","74.9215316772461","78.1919326782227","76.8219680786133","76.199592590332","81.7862014770508","81.5674362182617","83.9635467529297","86.3935623168945","90.1613922119141","95.4348068237305","96.9466323852539","98.1933822631836","101.44214630127","105.110038757324","109.32640838623","112.828277587891","114.81436920166","120.815391540527","127.155448913574","140.297622680664","140.055480957031","","",
