freq,nace_r1,currency,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 
A,C,NAC,HU	: 	702.87 	849.66 	950.13 	1067.34 	1264.04 	1307.48 	1382.22 	1505.00 	1559.00 	1717.00 	1649.00 	1971.00 	: 
A,C,NAC,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.16 	: 	: 
A,C,NAC,IT	: 	18.81 	19.65 	19.29 	20.02 	20.91 	20.17 	21.20 	22.45 	21.33 	: 	: 	: 	: 
A,C,NAC,LT	: 	6.41 	8.03 	9.79 	9.43 	11.89 	13.13 	13.17 	14.15 	13.98 	15.08 	17.83 	21.20 	: 
A,C,NAC,LU	: 	20.48 	21.06 	21.17 	22.44 	20.34 u	20.94 	21.95 	22.86 	22.93 	23.66 	24.09 	24.99 	25.75 
A,C,NAC,LV	: 	: 	1.04 	1.09 	1.24 	1.24 	1.31 	1.50 	1.72 	1.77 	2.04 	2.60 	3.46 	4.24 
A,C,NAC,MT	: 	: 	: 	: 	: 	: 	: 	6.77 	7.01 	7.94 	7.61 	10.12 	7.16 	: 
A,C,NAC,NL	: 	33.76 	32.95 	34.35 	35.04 	36.98 	38.95 	42.40 	43.80 	46.97 	48.84 	: 	: 	: 
A,C,NAC,PL	: 	18.05 	21.13 	24.53 	27.16 	29.52 	32.37 	33.93 	34.35 	38.20 	41.16 	43.34 	46.34 	: 
A,C,NAC,PT	: 	6.73 	6.99 	7.25 	7.52 	7.77 	7.80 	7.90 	7.90 	8.00 	8.00 	7.87 	8.42 	8.75 
A,C,NAC,RO	: 	: 	: 	: 	: 	4.95 	7.30 	9.74 	11.37 	13.57 	17.75 	21.10 	22.76 	: 
A,C,NAC,SE	212.96 	229.35 	240.26 	250.79 	257.66 	256.57 	268.47 	277.92 	291.40 	295.37 	305.48 	310.79 	332.60 	: 
A,C,NAC,SI	6.13 	6.92 	7.85 	8.39 	9.26 	10.05 	11.28 	12.42 	13.42 	14.78 	15.90 	16.47 	17.19 	: 
A,C,NAC,SK	: 	3.36 	3.86 	3.98 	4.54 	5.44 	5.39 	5.42 	5.70 	5.93 	6.34 	7.11 	7.60 	: 
A,C,NAC,UK	: 	14.37 	13.85 	15.66 	16.60 	19.36 	20.89 	22.22 	21.37 	21.54 	20.60 	23.42 	23.98 	: 
A,C,PPS,AT	: 	32.65 	32.57 	30.56 	28.40 	27.24 	26.57 	27.42 	28.68 	28.87 	29.95 	29.41 	29.85 	29.33 
A,C,PPS,BE	: 	21.66 	22.45 	22.63 	23.53 	26.15 	27.17 	28.98 	27.82 	: 	: 	: 	: 	: 
A,C,PPS,BG	: 	: 	: 	3.90 e	4.61 e	5.81 	5.84 	6.27 	6.51 	7.02 	7.11 	7.53 	8.28 	: 
A,C,PPS,CH	: 	: 	: 	: 	: 	20.24 	: 	22.44 	: 	22.49 	: 	23.46 	: 	24.49 
A,C,PPS,CY	: 	11.17 	11.87 	12.26 	12.50 	12.93 	12.79 	13.27 	13.80 	13.90 	15.41 	16.42 	17.52 	19.55 
A,C,PPS,CZ	7.34 	8.11 	8.20 	9.35 	9.27 	10.20 	11.50 	11.82 	12.48 	12.88 	13.64 	14.97 	15.90 	: 
A,C,PPS,DE	: 	23.99 	26.20 	26.20 	26.94 	28.91 	29.92 	28.79 	28.92 	29.11 	30.85 	30.60 	30.29 	: 
A,C,PPS,DK	: 	: 	24.08 	25.93 	25.46 	25.25 	24.65 	27.91 	26.78 	28.36 	28.72 	32.86 	32.02 	: 
A,C,PPS,EE	: 	4.89 	5.48 	5.91 	6.43 	6.99 	6.88 	7.43 	7.99 	8.38 	8.83 	9.66 	10.84 	11.87 
A,C,PPS,EL	12.56 	12.79 	13.21 	13.44 	14.11 	15.14 	16.40 	17.92 	17.81 	: 	: 	: 	: 	: 
A,C,PPS,ES	: 	21.49 	21.32 	21.46 	21.61 	21.86 	20.28 	21.34 	21.54 	21.32 	21.74 	22.19 	22.17 	: 
A,C,PPS,FI	: 	15.46 	16.05 	16.38 	17.01 	17.89 	18.15 	19.64 	20.39 	20.99 	22.71 	24.35 	26.28 	26.99 
A,C,PPS,FR	: 	22.91 	23.52 	23.41 	23.51 	25.23 	25.59 	25.71 	24.40 	24.21 	25.42 	26.73 	28.81 	29.86 
A,C,PPS,HU	: 	8.17 	8.65 	8.64 	8.97 	9.89 	9.62 	9.90 	10.18 	9.99 	10.91 	10.29 	11.75 	: 
A,C,PPS,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.01 	: 	: 
A,C,PPS,IT	: 	18.71 	19.78 	19.62 	20.39 	21.45 	20.22 	20.64 	21.66 	20.33 	: 	: 	: 	: 
A,C,PPS,LT	: 	3.46 	4.10 	4.79 	4.72 	6.11 	6.77 	7.03 	7.83 	7.57 	7.95 	9.00 	10.23 	: 
A,C,PPS,LU	: 	19.28 	19.66 	20.17 	21.82 	20.05 u	20.22 	21.50 	22.14 	22.25 	21.18 	21.63 	21.77 	21.92 
A,C,PPS,LV	: 	: 	3.30 	3.35 	3.80 	3.77 	3.96 	4.53 	4.95 	4.74 	5.15 	6.15 	7.42 	8.06 
A,C,PPS,MT	: 	: 	: 	: 	: 	: 	: 	9.53 	9.81 	10.88 	10.40 	13.53 	9.49 	: 
A,C,PPS,NL	: 	32.35 	31.77 	33.38 	34.12 	36.98 	37.83 	41.22 	40.63 	44.25 	46.61 	: 	: 	: 
A,C,PPS,PL	: 	10.41 	10.97 	11.69 	12.39 	12.73 	13.61 	14.38 	14.35 	15.85 	16.73 	17.81 	19.84 	: 
A,C,PPS,PT	: 	8.29 	8.55 	8.58 	9.02 	9.36 	9.25 	9.15 	9.18 	9.16 	9.39 	9.26 	9.83 	9.94 
A,C,PPS,RO	: 	: 	: 	: 	: 	5.85 	6.73 	7.25 	6.97 	7.73 	8.99 	10.38 	10.70 	: 
