freq,nace_r1,currency,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 
A,C-F,EUR,ES	: 	15.37 	14.53 	14.31 	14.46 	14.50 	13.38 	13.98 	14.72 	15.34 	15.81 	16.37 	17.06 	: 
A,C-F,EUR,FI	: 	20.05 	19.97 	20.09 	20.98 	21.88 	23.49 	24.79 	25.70 	26.09 	27.65 	28.33 	29.00 	30.55 
A,C-F,EUR,FR	: 	22.25 	22.69 	23.07 	23.68 	24.79 	25.90 	26.90 	27.62 	28.58 	29.58 	30.46 	31.28 	32.19 
A,C-F,EUR,HU	: 	: 	: 	: 	: 	: 	: 	: 	4.90 	5.41 	5.82 	5.91 	6.57 	: 
A,C-F,EUR,IT	: 	: 	: 	: 	: 	: 	18.68 	19.33 	: 	: 	: 	: 	: 	: 
A,C-F,EUR,LT	: 	1.37 	1.83 	2.07 	2.31 	2.61 	2.73 	2.92 	2.99 	3.07 	3.44 	4.17 	5.17 	: 
A,C-F,EUR,LU	: 	19.93 	19.80 	20.06 	20.68 	20.60 	21.03 	21.80 	22.73 	25.24 	26.11 	26.71 	27.39 	28.10 
A,C-F,EUR,LV	: 	: 	1.62 	1.74 	1.92 	2.18 	2.27 	2.34 	2.31 	2.46 	2.70 	3.35 	4.36 	5.27 
A,C-F,EUR,MT	: 	: 	: 	: 	: 	: 	: 	6.71 	7.18 	7.97 	8.16 	8.92 	9.01 	: 
A,C-F,EUR,NL	: 	22.59 	20.60 b	21.54 	22.68 	23.63 	24.87 	26.14 	27.28 	28.35 	28.69 	: 	: 	: 
A,C-F,EUR,PL	: 	2.97 	3.36 	3.69 	3.90 	4.32 	5.09 	5.06 	4.52 	4.58 	5.37 	5.88 	6.64 	: 
A,C-F,EUR,PT	: 	6.06 	6.28 	6.50 	6.88 	7.13 	7.40 	7.80 	8.20 	8.60 	8.90 	9.18 	9.45 	9.87 
A,C-F,EUR,RO	: 	: 	: 	: 	: 	1.41 	1.56 	1.64 	1.56 	1.74 	2.31 	2.65 	3.28 	: 
A,C-F,EUR,SE	19.63 	23.17 	23.88 	24.17 	25.13 	27.94 	26.72 	27.87 	29.34 	31.33 	31.74 	32.10 	33.63 	: 
A,C-F,EUR,SI	6.60 	6.76 	7.30 	7.94 	8.33 	8.30 	8.75 	9.28 	9.67 	9.72 	10.03 	10.49 	11.05 	: 
A,C-F,EUR,SK	: 	2.30 	2.58 	2.86 	2.70 	3.03 	3.11 	3.49 	3.98 	4.37 	4.61 	5.21 	6.32 	: 
A,C-F,EUR,UK	: 	14.72 	17.75 	19.35 	20.90 	23.54 	24.19 	25.09 	23.45 	24.89 	23.22 	24.20 	24.72 	: 
A,C-F,NAC,AT	: 	22.52 	22.70 	22.99 	23.52 	23.81 	24.71 	25.62 	26.24 	26.78 	27.34 	27.47 	28.07 	28.94 
A,C-F,NAC,BE	: 	25.14 	25.76 	26.35 	26.95 	28.22 	29.66 	31.10 	31.55 	32.01 	32.42 	33.26 	34.87 	35.84 
A,C-F,NAC,BG	: 	: 	: 	: 	: 	2.55 	2.66 	2.71 	2.82 	2.97 	3.09 	3.23 	3.65 	: 
A,C-F,NAC,CH	: 	: 	: 	: 	: 	46.07 	: 	49.06 	: 	49.52 	: 	51.25 	: 	53.24 
A,C-F,NAC,CY	: 	7.55 	7.96 	8.27 	8.44 	9.16 	9.52 	10.05 	10.87 	11.46 	12.08 	12.58 	13.22 	14.10 
A,C-F,NAC,CZ	81.76 	93.77 	103.47 	113.99 	121.25 	131.09 	150.13 	159.43 	167.41 	177.58 	184.00 	193.93 	208.36 	: 
A,C-F,NAC,DE	: 	23.53 	24.61 	24.97 	25.30 	26.60 	27.50 	28.20 	28.90 	29.10 	29.30 	30.30 	30.60 	: 
A,C-F,NAC,DK	: 	: 	169.01 	177.79 	183.69 	190.90 	202.21 	210.02 	218.45 	222.01 	230.79 	240.64 	252.63 	: 
A,C-F,NAC,EE	: 	1.83 	2.17 	2.46 	2.50 	2.79 	3.11 	3.45 	3.79 	4.08 	4.60 	5.38 	6.65 	7.56 
A,C-F,NAC,EL	7.72 	8.27 	8.85 	9.46 	10.11 	10.78 	11.48 	12.20 	12.94 	: 	: 	: 	: 	: 
A,C-F,NAC,ES	: 	14.85 	14.49 	14.38 	14.46 	14.50 	13.38 	13.98 	14.72 	15.34 	15.81 	16.37 	17.06 	: 
A,C-F,NAC,FI	: 	19.65 	19.75 	20.21 	20.98 	21.88 	23.49 	24.79 	25.70 	26.09 	27.65 	28.33 	29.00 	30.55 
A,C-F,NAC,FR	: 	22.02 	22.87 	23.22 	23.68 	24.79 	25.90 	26.90 	27.62 	28.58 	29.58 	30.46 	31.28 	32.19 
A,C-F,NAC,HU	: 	: 	: 	: 	: 	: 	: 	: 	1243.00 	1361.00 	1443.00 	1562.00 	1651.00 	: 
A,C-F,NAC,IT	: 	: 	: 	: 	: 	: 	18.68 	19.33 	: 	: 	: 	: 	: 	: 
A,C-F,NAC,LT	: 	6.94 	8.31 	9.29 	9.87 	9.65 	9.78 	10.10 	10.34 	10.59 	11.87 	14.41 	17.85 	: 
A,C-F,NAC,LU	: 	19.42 	19.89 	20.20 	20.68 	20.60 	21.03 	21.80 	22.73 	25.24 	26.11 	26.71 	27.39 	28.10 
A,C-F,NAC,LV	: 	: 	1.07 	1.15 	1.20 	1.22 	1.27 	1.36 	1.48 	1.63 	1.88 	2.33 	3.06 	3.70 
A,C-F,NAC,MT	: 	: 	: 	: 	: 	: 	: 	6.39 	7.13 	7.95 	8.17 	8.92 	9.01 	: 
A,C-F,NAC,NL	: 	21.93 	20.67 	21.70 	22.68 	23.63 	24.87 	26.14 	27.28 	28.35 	28.69 	: 	: 	: 
A,C-F,NAC,PL	: 	10.16 	12.49 	14.46 	16.48 	17.32 	18.68 	19.50 	19.87 	20.75 	21.62 	22.90 	25.12 	: 
A,C-F,NAC,PT	: 	5.92 	6.22 	6.54 	6.88 	7.13 	7.40 	7.80 	8.20 	8.60 	8.90 	9.18 	9.45 	9.87 
A,C-F,NAC,RO	: 	: 	: 	: 	: 	2.80 	4.06 	5.14 	5.86 	7.04 	8.36 	9.35 	10.94 	: 
A,C-F,NAC,SE	183.18 	197.27 	206.61 	215.49 	221.34 	235.95 	247.34 	255.29 	267.74 	285.82 	294.59 	297.07 	311.06 	: 
A,C-F,NAC,SI	4.26 	4.85 	5.51 	6.16 	6.76 	7.16 	7.96 	8.75 	9.43 	9.70 	10.03 	10.49 	11.05 	: 
A,C-F,NAC,SK	: 	2.97 	3.26 	3.75 	3.95 	4.28 	4.47 	4.95 	5.49 	5.81 	5.90 	6.44 	7.08 	: 
A,C-F,NAC,UK	: 	11.98 	12.29 	13.09 	13.77 	14.35 	15.04 	15.78 	16.23 	16.89 	15.88 	16.50 	16.92 	: 
A,C-F,PPS,AT	: 	20.61 	21.09 	21.69 	22.44 	23.38 	23.58 	24.77 	25.40 	25.92 	26.64 	26.94 	27.37 	27.44 
A,C-F,PPS,BE	: 	23.44 	24.22 	24.35 	25.24 	27.68 	28.75 	30.64 	29.61 	29.99 	30.43 	30.88 	32.46 	32.46 
A,C-F,PPS,BG	: 	: 	: 	: 	: 	3.38 	3.33 	3.40 	3.55 	3.62 	3.65 	3.68 	4.09 	: 
A,C-F,PPS,CH	: 	: 	: 	: 	: 	20.75 	: 	22.79 	: 	22.78 	: 	24.20 	: 	25.95 
A,C-F,PPS,CY	: 	8.64 	9.23 	9.59 	9.77 	10.61 	10.88 	11.47 	11.98 	12.63 	13.55 	14.16 	15.05 	15.88 
A,C-F,PPS,CZ	5.66 	6.20 	6.49 	6.66 	7.08 	7.66 	8.81 	9.07 	9.64 	10.05 	10.62 	11.15 	12.03 	: 
A,C-F,PPS,DE	: 	21.10 	22.36 	22.81 	23.58 	24.97 	25.71 	26.45 	27.22 	27.78 	28.34 	29.53 	30.09 	: 
A,C-F,PPS,DK	: 	: 	17.17 	18.32 	18.79 	19.67 	20.07 	21.12 	20.83 	21.38 	22.04 	23.31 	24.70 	: 
A,C-F,PPS,EE	: 	3.78 	4.25 	4.51 	4.40 	4.88 	5.09 	5.67 	6.10 	6.46 	7.10 	7.85 	9.07 	9.73 
A,C-F,PPS,EL	10.47 	10.73 	11.13 	11.37 	11.98 	12.87 	13.95 	15.21 	15.07 	: 	: 	: 	: 	: 
A,C-F,PPS,ES	: 	16.92 	16.72 	16.73 	16.81 	17.06 	15.67 	16.52 	16.66 	16.86 	17.33 	17.84 	18.37 	: 
A,C-F,PPS,FI	: 	15.65 	15.97 	16.33 	17.16 	18.11 	18.83 	20.00 	20.30 	21.07 	22.34 	23.08 	24.25 	25.18 
A,C-F,PPS,FR	: 	18.98 	20.26 	20.84 	21.67 	23.43 	24.89 	25.99 	25.11 	25.99 	27.31 	28.06 	28.94 	28.75 
A,C-F,PPS,HU	: 	: 	: 	: 	: 	: 	: 	: 	8.41 	8.72 	9.17 	9.75 	9.85 	: 
A,C-F,PPS,IT	: 	: 	: 	: 	: 	: 	18.73 	18.82 	: 	: 	: 	: 	: 	: 
A,C-F,PPS,LT	: 	3.74 	4.24 	4.55 	4.94 	4.96 	5.05 	5.39 	5.72 	5.73 	6.26 	7.28 	8.61 	: 
A,C-F,PPS,LU	: 	18.28 	18.57 	19.25 	20.11 	20.30 	20.31 	21.35 	22.01 	24.49 	23.37 	23.99 	23.87 	23.92 
A,C-F,PPS,LV	: 	: 	3.39 	3.54 	3.68 	3.71 	3.84 	4.11 	4.25 	4.38 	4.73 	5.52 	6.55 	7.04 
A,C-F,PPS,MT	: 	: 	: 	: 	: 	: 	: 	9.00 	9.98 	10.89 	11.17 	11.93 	11.94 	: 
A,C-F,PPS,NL	: 	21.02 	19.93 	21.08 	22.09 	23.63 	24.15 	25.41 	25.31 	26.71 	27.38 	: 	: 	: 
A,C-F,PPS,PL	: 	5.86 	6.49 	6.89 	7.52 	7.47 	7.85 	8.26 	8.30 	8.61 	8.79 	9.41 	10.76 	: 
A,C-F,PPS,PT	: 	7.30 	7.61 	7.74 	8.26 	8.59 	8.77 	9.04 	9.53 	9.84 	10.45 	10.81 	11.03 	11.21 
A,C-F,PPS,RO	: 	: 	: 	: 	: 	3.31 	3.74 	3.83 	3.59 	4.01 	4.24 	4.60 	5.14 	: 
A,C-F,PPS,SE	15.60 	17.18 	18.15 	19.02 	19.89 	21.90 	22.30 	22.89 	23.76 	25.80 	26.63 	27.09 	29.09 	: 
A,C-F,PPS,SI	8.78 	9.30 	10.08 	10.71 	11.23 	11.39 	11.84 	12.46 	12.68 	12.88 	13.19 	13.68 	14.01 	: 
A,C-F,PPS,SK	: 	5.70 	6.19 	6.83 	6.66 	6.82 	7.17 	7.80 	7.86 	7.96 	8.31 	8.97 	9.99 	: 
A,C-F,PPS,UK	: 	15.87 	16.50 	17.24 	18.09 	19.63 	20.71 	21.44 	21.75 	22.94 	21.14 	21.88 	21.70 	: 
A,C-K,EUR,AT	: 	22.41 	21.93 	22.02 	22.71 	23.05 	23.65 	24.13 	24.98 	25.32 	25.72 	26.01 	26.33 	26.50 
A,C-K,EUR,BE	: 	: 	: 	: 	: 	26.61 	27.89 	29.17 	29.58 	30.30 	30.62 	31.43 	32.56 	33.66 
A,C-K,EUR,BG	: 	: 	: 	1.10 e	1.22 e	1.23 	1.29 	1.32 	1.39 	1.47 	1.55 	1.65 	1.89 	: 
A,C-K,EUR,CH	: 	: 	: 	: 	: 	30.59 	: 	34.16 	: 	32.82 	: 	33.81 	: 	35.05 
A,C-K,EUR,CY	: 	7.25 	7.83 	8.16 	8.41 	8.95 	9.31 	9.76 	10.37 	11.10 	11.65 	11.98 	12.46 	13.31 
A,C-K,EUR,CZ	2.42 	2.80 	2.97 	3.26 	3.41 	3.86 	4.64 	5.39 	5.47 	5.85 	6.63 	7.14 	7.88 	: 
A,C-K,EUR,DE	: 	22.90 	23.30 	23.60 	24.00 	25.00 	25.60 	26.20 	26.80 	26.90 	27.10 	27.60 	27.80 	: 
A,C-K,EUR,DK	: 	: 	23.40 	24.63 	25.92 	26.53 	28.54 	29.06 	30.30 	30.70 	31.98 	33.09 	34.74 	: 
A,C-K,EUR,EE	: 	1.85 	2.13 	2.42 	2.60 	2.85 	3.22 	3.67 	4.01 	4.24 	4.67 	5.50 	6.60 	7.51 
A,C-K,EUR,EL	8.75 	9.26 	9.77 	9.77 	10.61 	10.98 	11.62 	12.46 	13.37 	: 	: 	: 	: 	: 
A,C-K,EUR,ES	: 	14.94 	14.23 	14.06 	14.22 	14.22 	13.07 	13.63 	14.21 	14.76 	15.22 	15.77 	16.39 	: 
A,C-K,EUR,FI	: 	20.25 	20.30 	20.40 	21.37 	22.10 	23.59 	23.82 	24.78 	25.34 	26.70 	27.20 	27.87 	29.38 
A,C-K,EUR,FR	: 	22.09 	22.52 	22.94 	23.57 	24.84 	26.00 	27.04 	27.68 	28.46 	29.13 	30.08 	31.06 	31.78 
A,C-K,EUR,HU	: 	2.86 	3.15 	3.02 	3.14 	3.63 	4.04 	4.91 	5.08 	5.49 	6.06 	6.34 	7.13 	: 
A,C-K,EUR,IT	: 	17.59 	18.92 	18.30 	18.68 	18.99 	19.27 	19.99 	20.64 	21.39 	: 	: 	: 	: 
A,C-K,EUR,LT	: 	1.32 	1.70 	1.98 	2.31 	2.63 	2.78 	3.00 	3.10 	3.16 	3.56 	4.21 	5.09 	: 
A,C-K,EUR,LU	: 	21.38 	21.26 	21.56 	22.52 	24.48 	25.39 	26.21 	27.02 	29.97 	31.10 	31.98 	33.00 	33.63 
A,C-K,EUR,LV	: 	: 	1.59 	1.71 	1.85 	2.22 	2.29 	2.39 	2.37 	2.52 	2.77 	3.41 	4.41 	5.42 
A,C-K,EUR,MT	: 	: 	: 	: 	: 	: 	: 	7.29 	7.49 	8.23 	8.45 	8.56 	8.88 	: 
A,C-K,EUR,NL	: 	20.39 	19.13 b	20.18 	21.14 	22.31 	23.88 	25.19 	26.45 	27.23 	27.41 	: 	: 	: 
A,C-K,EUR,PL	: 	2.95 	3.38 	3.73 	4.05 	4.48 	5.30 	5.27 	4.70 	4.74 	5.55 	6.03 	6.78 	: 
A,C-K,EUR,PT	: 	7.18 	7.40 	7.60 	7.99 	8.13 	8.60 	9.10 	9.60 	10.20 	10.60 	10.97 	11.32 	11.73 
A,C-K,EUR,RO	: 	: 	: 	: 	: 	1.41 	1.57 	1.67 	1.60 	1.76 	2.33 	2.68 	3.40 	: 
A,C-K,EUR,SE	19.76 	23.10 	23.79 	24.17 	25.34 	28.56 	27.33 	28.57 	30.03 	31.08 	31.55 	32.16 	33.30 	: 
A,C-K,EUR,SI	7.13 	7.35 	7.90 	8.51 	8.94 	8.98 	9.51 	10.09 	10.54 	10.41 	10.76 	11.37 	12.09 	: 
A,C-K,EUR,SK	: 	2.16 	2.61 	2.91 	2.76 	3.07 	3.26 	3.59 	4.02 	4.41 	4.80 	5.33 	6.41 	: 
A,C-K,EUR,UK	: 	14.22 	17.69 	19.16 	20.84 	23.71 	24.51 	25.24 	23.56 	24.71 	21.80 	22.90 	23.54 	: 
A,C-K,NAC,AT	: 	21.88 	22.03 	22.17 	22.71 	23.05 	23.65 	24.13 	24.98 	25.32 	25.72 	26.01 	26.33 	26.50 
A,C-K,NAC,BE	: 	: 	: 	: 	: 	26.61 	27.89 	29.17 	29.58 	30.30 	30.62 	31.43 	32.56 	33.66 
A,C-K,NAC,BG	: 	: 	: 	2.16 e	2.39 e	2.40 	2.52 	2.58 	2.70 	2.87 	3.03 	3.22 	3.69 	: 
A,C-K,NAC,CH	: 	: 	: 	: 	: 	47.65 	: 	50.11 	: 	50.67 	: 	53.18 	: 	55.64 
A,C-K,NAC,CY	: 	7.33 	7.79 	8.08 	8.32 	8.78 	9.16 	9.59 	10.35 	11.04 	11.48 	11.79 	12.40 	13.31 
A,C-K,NAC,CZ	83.80 	96.41 	106.68 	117.48 	125.91 	137.32 	157.95 	165.92 	174.21 	186.68 	197.43 	202.25 	218.77 	: 
A,C-K,NAC,DE	: 	22.36 	23.40 	23.76 	24.00 	25.00 	25.60 	26.20 	26.80 	26.90 	27.10 	27.60 	27.80 	: 
A,C-K,NAC,DK	: 	: 	175.11 	184.71 	192.75 	197.77 	212.71 	215.96 	225.14 	228.43 	238.33 	246.82 	258.86 	: 
A,C-K,NAC,EE	: 	1.81 	2.14 	2.44 	2.60 	2.85 	3.22 	3.67 	4.01 	4.24 	4.67 	5.50 	6.60 	7.51 
A,C-K,NAC,EL	7.78 	8.30 	8.87 	9.48 	10.14 	10.85 	11.62 	12.46 	13.37 	: 	: 	: 	: 	: 
A,C-K,NAC,ES	: 	14.43 	14.19 	14.13 	14.22 	14.22 	13.07 	13.63 	14.21 	14.76 	15.22 	15.77 	16.39 	: 
A,C-K,NAC,FI	: 	19.85 	20.08 	20.53 	21.37 	22.10 	23.59 	23.82 	24.78 	25.34 	26.70 	27.20 	27.87 	29.38 
A,C-K,NAC,FR	: 	21.87 	22.71 	23.09 	23.57 	24.84 	26.00 	27.04 	27.68 	28.46 	29.13 	30.08 	31.06 	31.78 
A,C-K,NAC,HU	: 	554.00 	665.85 	726.00 	793.00 	944.00 	1037.00 	1193.00 	1288.00 	1381.00 	1502.00 	1675.00 	1793.00 	: 
A,C-K,NAC,IT	: 	17.80 	18.85 	18.37 	18.68 	18.99 	19.27 	19.99 	20.64 	21.39 	: 	: 	: 	: 
A,C-K,NAC,LT	: 	6.69 	7.72 	8.88 	9.86 	9.71 	9.95 	10.37 	10.72 	10.92 	12.28 	14.53 	17.59 	: 
A,C-K,NAC,LU	: 	20.83 	21.36 	21.71 	22.52 	24.48 	25.39 	26.21 	27.02 	29.97 	31.10 	31.98 	33.00 	33.63 
A,C-K,NAC,LV	: 	: 	1.05 	1.13 	1.16 	1.24 	1.28 	1.39 	1.52 	1.67 	1.93 	2.37 	3.09 	3.81 
A,C-K,NAC,MT	: 	: 	: 	: 	: 	: 	: 	6.94 	7.43 	8.21 	8.46 	8.56 	8.88 	: 
A,C-K,NAC,NL	: 	19.80 	19.19 	20.33 	21.14 	22.31 	23.88 	25.19 	26.45 	27.23 	27.41 	: 	: 	: 
A,C-K,NAC,PL	: 	10.11 	12.55 	14.62 	17.12 	17.97 	19.45 	20.34 	20.70 	21.46 	22.32 	23.49 	25.67 	: 
A,C-K,NAC,PT	: 	7.01 	7.33 	7.65 	7.99 	8.13 	8.60 	9.10 	9.60 	10.20 	10.60 	10.97 	11.32 	11.73 
A,C-K,NAC,RO	: 	: 	: 	: 	: 	2.81 	4.08 	5.23 	6.01 	7.14 	8.44 	9.45 	11.35 	: 
A,C-K,NAC,SE	184.43 	196.69 	205.79 	215.52 	223.15 	241.18 	252.95 	261.74 	273.98 	283.58 	292.84 	297.64 	307.99 	: 
A,C-K,NAC,SI	4.61 	5.27 	5.96 	6.61 	7.25 	7.74 	8.65 	9.52 	10.28 	10.38 	10.75 	11.37 	12.09 	: 
A,C-K,NAC,SK	: 	2.79 	3.30 	3.81 	4.04 	4.34 	4.68 	5.09 	5.53 	5.85 	6.15 	6.59 	7.18 	: 
A,C-K,NAC,UK	: 	11.57 	12.25 	12.96 	13.73 	14.45 	15.24 	15.87 	16.30 	16.77 	14.91 	15.61 	16.11 	: 
A,C-K,PPS,AT	: 	20.02 	20.46 	20.91 	21.66 	22.64 	22.57 	23.33 	24.18 	24.51 	25.06 	25.51 	25.67 	25.13 
A,C-K,PPS,BE	: 	: 	: 	: 	: 	26.10 	27.03 	28.74 	27.76 	28.38 	28.74 	29.18 	30.31 	30.48 
A,C-K,PPS,BG	: 	: 	: 	2.92 e	3.23 e	3.18 	3.16 	3.24 	3.40 	3.50 	3.58 	3.67 	4.14 	: 
A,C-K,PPS,CH	: 	: 	: 	: 	: 	21.46 	: 	23.28 	: 	23.31 	: 	25.11 	: 	27.12 
A,C-K,PPS,CY	: 	8.39 	9.04 	9.37 	9.63 	10.17 	10.47 	10.95 	11.40 	12.17 	12.88 	13.27 	14.11 	14.99 
A,C-K,PPS,CZ	5.80 	6.38 	6.69 	6.87 	7.36 	8.03 	9.27 	9.44 	10.03 	10.57 	11.39 	11.63 	12.63 	: 
A,C-K,PPS,DE	: 	20.05 	21.26 	21.70 	22.37 	23.47 	23.93 	24.57 	25.24 	25.68 	26.21 	26.89 	27.34 	: 
A,C-K,PPS,DK	: 	: 	17.78 	19.03 	19.72 	20.38 	21.12 	21.72 	21.47 	22.00 	22.76 	23.91 	25.31 	: 
A,C-K,PPS,EE	: 	3.72 	4.20 	4.47 	4.57 	4.98 	5.28 	6.03 	6.46 	6.72 	7.21 	8.03 	8.99 	9.66 
A,C-K,PPS,EL	10.55 	10.77 	11.16 	11.39 	12.01 	12.95 	14.12 	15.54 	15.57 	: 	: 	: 	: 	: 
A,C-K,PPS,ES	: 	16.44 	16.37 	16.44 	16.53 	16.73 	15.31 	16.11 	16.08 	16.22 	16.69 	17.18 	17.65 	: 
A,C-K,PPS,FI	: 	15.81 	16.24 	16.59 	17.48 	18.29 	18.91 	19.22 	19.57 	20.47 	21.58 	22.16 	23.31 	24.22 
A,C-K,PPS,FR	: 	18.84 	20.11 	20.72 	21.57 	23.47 	24.99 	26.13 	25.17 	25.88 	26.89 	27.71 	28.75 	28.39 
A,C-K,PPS,HU	: 	6.44 	6.78 	6.60 	6.67 	7.38 	7.63 	8.55 	8.72 	8.85 	9.55 	10.45 	10.69 	: 
A,C-K,PPS,IT	: 	17.70 	18.98 	18.68 	19.02 	19.48 	19.32 	19.47 	19.92 	20.38 	: 	: 	: 	: 
A,C-K,PPS,LT	: 	3.61 	3.94 	4.35 	4.94 	4.99 	5.13 	5.53 	5.93 	5.91 	6.48 	7.34 	8.49 	: 
A,C-K,PPS,LU	: 	19.61 	19.94 	20.69 	21.90 	24.13 	24.52 	25.67 	26.17 	29.08 	27.84 	28.72 	28.75 	28.62 
A,C-K,PPS,LV	: 	: 	3.33 	3.48 	3.56 	3.77 	3.87 	4.20 	4.36 	4.48 	4.85 	5.61 	6.62 	7.25 
A,C-K,PPS,MT	: 	: 	: 	: 	: 	: 	: 	9.77 	10.40 	11.25 	11.56 	11.45 	11.77 	: 
A,C-K,PPS,NL	: 	18.97 	18.50 	19.75 	20.59 	22.31 	23.19 	24.49 	24.54 	25.65 	26.16 	: 	: 	: 
A,C-K,PPS,PL	: 	5.83 	6.52 	6.97 	7.81 	7.75 	8.18 	8.62 	8.64 	8.90 	9.07 	9.65 	10.99 	: 
A,C-K,PPS,PT	: 	8.64 	8.97 	9.05 	9.59 	9.80 	10.19 	10.54 	11.16 	11.67 	12.45 	12.91 	13.21 	13.32 
A,C-K,PPS,RO	: 	: 	: 	: 	: 	3.32 	3.76 	3.89 	3.69 	4.07 	4.28 	4.65 	5.34 	: 
A,C-K,PPS,SE	15.71 	17.13 	18.07 	19.03 	20.05 	22.39 	22.80 	23.47 	24.31 	25.60 	26.47 	27.15 	28.80 	: 
A,C-K,PPS,SI	9.48 	10.11 	10.90 	11.48 	12.06 	12.32 	12.86 	13.56 	13.82 	13.78 	14.13 	14.82 	15.33 	: 
A,C-K,PPS,SK	: 	5.35 	6.27 	6.94 	6.82 	6.91 	7.50 	8.03 	7.92 	8.02 	8.66 	9.18 	10.13 	: 
A,C-K,PPS,UK	: 	15.33 	16.44 	17.07 	18.04 	19.76 	20.98 	21.56 	21.85 	22.78 	19.84 	20.70 	20.66 	: 
A,C-O,EUR,AT	: 	: 	: 	: 	: 	23.09 	23.58 	24.06 	24.80 	25.15 	25.56 	25.89 	26.19 	26.40 
A,C-O,EUR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.20 	29.57 	30.43 	31.64 	32.74 
A,C-O,EUR,BG	: 	: 	: 	0.93 e	1.05 e	1.20 	1.28 	1.35 	1.42 	1.52 	1.61 	1.71 	1.96 	: 
A,C-O,EUR,CH	: 	: 	: 	: 	: 	31.07 	: 	34.73 	: 	33.42 	: 	34.26 	: 	35.46 
A,C-O,EUR,CY	: 	7.79 	8.48 	8.89 	9.16 	9.74 	10.14 	10.74 	11.42 	12.03 	12.70 	13.13 	13.59 	14.56 
A,C-O,EUR,CZ	2.38 	2.75 	2.88 	3.12 	3.29 	3.69 	4.46 	5.24 	5.47 	5.78 	6.56 	7.14 	7.86 	: 
A,C-O,EUR,DE	: 	22.90 	23.40 	23.70 	24.20 	25.10 	25.70 	26.30 	26.80 	26.90 	27.00 	27.40 	27.60 	: 
A,C-O,EUR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30.74 	31.81 	33.29 	: 
A,C-O,EUR,EE	: 	1.78 	2.05 	2.35 	2.58 	2.84 	3.19 	3.62 	3.98 	4.25 	4.71 	5.49 	6.60 	7.61 
A,C-O,EUR,ES	: 	15.10 	14.39 	14.22 	: 	14.38 	13.28 	13.84 	14.47 	15.03 	15.53 	16.15 	16.86 	: 
A,C-O,EUR,FI	: 	: 	: 	: 	: 	22.13 	: 	23.40 	24.36 	24.87 	26.15 	26.64 	27.31 	28.77 
A,C-O,EUR,HU	: 	: 	: 	: 	: 	: 	: 	: 	5.34 	5.25 	6.37 	6.52 	7.39 	: 
A,C-O,EUR,LT	: 	: 	: 	: 	: 	2.60 	2.74 	2.97 	3.10 	3.24 	3.62 	4.27 	5.06 	: 
A,C-O,EUR,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	30.34 	31.40 	32.39 	33.30 	33.95 
A,C-O,EUR,LV	: 	: 	: 	1.67 	1.87 	2.24 	2.34 	2.50 	2.49 	2.64 	2.91 	3.58 	4.68 	5.70 
A,C-O,EUR,MT	: 	: 	: 	: 	: 	: 	: 	7.75 	8.02 	8.51 	8.84 	8.82 	9.27 	: 
A,C-O,EUR,NL	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,C-O,EUR,PL	: 	3.35 	3.42 	3.77 	4.07 	4.51 	5.39 	5.38 	4.88 	4.92 	5.78 	6.28 	7.03 	: 
A,C-O,EUR,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.30 	11.70 	12.13 	12.51 	12.97 
A,C-O,EUR,RO	: 	: 	: 	: 	: 	1.39 	1.53 	1.64 	1.60 	1.78 	2.38 	2.82 	3.55 	: 
A,C-O,EUR,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.00 	29.44 	30.21 	30.89 	: 
A,C-O,EUR,SI	7.42 	7.74 	8.37 	8.98 	9.44 	9.56 	10.23 	10.89 	11.36 	11.12 	11.49 	12.09 	12.71 	: 
A,C-O,EUR,SK	: 	2.10 	2.50 	2.74 	2.57 	2.84 	3.04 	3.46 	3.85 	4.23 	4.59 	5.15 	6.15 	: 
A,C-O,EUR,UK	: 	: 	17.46 	18.89 	20.43 	23.27 	23.93 	24.66 	23.19 	24.49 	21.97 	22.81 	23.37 	: 
A,C-O,NAC,AT	: 	: 	: 	: 	: 	23.09 	23.58 	24.06 	24.80 	25.15 	25.56 	25.89 	26.19 	26.40 
A,C-O,NAC,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.20 	29.57 	30.43 	31.64 	32.74 
A,C-O,NAC,BG	: 	: 	: 	1.83 e	2.05 e	2.34 	2.50 	2.63 	2.77 	2.96 	3.15 	3.34 	3.84 	: 
A,C-O,NAC,CH	: 	: 	: 	: 	: 	48.40 	: 	50.95 	: 	51.59 	: 	53.89 	: 	56.29 
A,C-O,NAC,CY	: 	7.88 	8.44 	8.80 	9.06 	9.55 	9.98 	10.56 	11.40 	11.96 	12.52 	12.92 	13.53 	14.56 
A,C-O,NAC,CZ	82.55 	94.89 	103.48 	112.58 	121.24 	131.21 	152.02 	161.32 	174.04 	184.45 	195.38 	202.39 	218.35 	: 
